DevId,Seqno,LogLine,RecvTime,TravelDelay,ProcDelay
1373892682,952795,50,1774937354950,7206248,106
1373892682,952800,149,1774937360159,7206457,136
1373892682,952805,248,1774937364873,7206171,124
1373892682,952810,347,1774937369981,7206278,154
1373892682,952815,446,1774937374707,7206004,109
1373892682,952820,545,1774937379815,7206113,171
1373892682,952825,644,1774937385055,7206353,107
1373892682,952830,743,1774937389765,7206063,156
1373892682,952835,842,1774937394893,7206191,125
1373892682,952840,941,1774937400097,7206395,151
1373892682,952845,1040,1774937404826,7206124,117
1373892682,952850,1139,1774937409930,7206228,164
1373892682,952855,1238,1774937415149,7206447,119
1373892682,952860,1337,1774937419870,7206168,151
1373892682,952865,1436,1774937424980,7206278,114
1373892682,952870,1535,1774937429702,7206000,167
1373892682,952875,1634,1774937434822,7206120,115
1373892682,952880,1733,1774937440033,7206331,162
1373892682,952885,1832,1774937444802,7206100,126
1373892682,952890,1931,1774937449876,7206174,152
1373892682,952895,2030,1774937455116,7206413,113
1373892682,952900,2129,1774937459813,7206111,169
1373892682,952905,2228,1774937464939,7206236,130
1373892682,952910,2327,1774937470150,7206448,152
1373892682,952915,2426,1774937474861,7206159,124
1373892682,952920,2525,1774937479976,7206274,182
1373892682,952925,2624,1774937485191,7206489,147
1373892682,952930,2723,1774937489982,7206280,176
1373892682,952935,2822,1774937495034,7206332,120
1373892682,952940,2921,1774937500005,7206303,158
1373892682,952945,3020,1774937505166,7206463,111
1373892682,952950,3119,1774937509885,7206183,173
1373892682,952955,3218,1774937514992,7206290,108
1373892682,952960,3317,1774937520260,7206558,117
1373892682,952965,3416,1774937524934,7206232,120
1373892682,952970,3515,1774937530043,7206341,151
1373892682,952975,3614,1774937534765,7206062,116
1373892682,952980,3713,1774937539873,7206171,162
1373892682,952985,3812,1774937545095,7206393,108
1373892682,952990,3911,1774937549918,7206216,156
1373892682,952995,4010,1774937554998,7206295,117
1373892682,953000,4109,1774937560156,7206454,124
1373892682,953005,4208,1774937564881,7206178,112
1373892682,953010,4307,1774937569988,7206285,171
1373892682,953015,4406,1774937575214,7206512,236
1373892682,953020,4505,1774937580179,7206477,133
1373892682,953025,4604,1774937584904,7206201,128
1373892682,953030,4703,1774937589950,7206248,155
1373892682,953035,4802,1774937595172,7206469,116
1373892682,953040,4901,1774937599905,7206203,156
1373892682,953045,5000,1774937647020,7248317,120
1373892682,953090,5099,1774937650022,7206320,148
1373892682,953095,5198,1774937655092,7206390,121
1373892682,953100,5297,1774937659813,7206111,170
1373892682,953105,5396,1774937664950,7206248,112
1373892682,953110,5495,1774937670157,7206455,158
1373892682,953115,5594,1774937674868,7206166,112
1373892682,953120,5693,1774937679792,7206090,148
1373892682,953125,5792,1774937684776,7206074,107
1373892682,953130,5891,1774937689916,7206214,240
1373892682,953135,5990,1774937695034,7206332,112
1373892682,953140,6287,1774937700258,7206555,121
1373892682,953145,6386,1774937704975,7206272,110
1373892682,953150,6683,1774937710084,7206381,158
1373892682,953155,6782,1774937714810,7206108,117
1373892682,953160,7079,1774937719912,7206209,168
1373892682,953165,8069,1774937768451,7249749,117
1373892682,953210,8267,1774937770151,7206449,129
1373892682,953215,8366,1774937775003,7206301,119
1373892682,953220,8590,1774937779914,7206212,199
1373892682,953225,8762,1774937784842,7206140,113
1373892682,953230,9059,1774937790041,7206339,150
1373892682,953235,9257,1774937795163,7206461,110
1373892682,953240,9356,1774937799884,7206182,170
1373892682,953245,9653,1774937805016,7206314,117
1373892682,953250,9851,1774937810213,7206511,153
1373892682,953255,10048,1774937814948,7206246,125
1373892682,953260,10174,1774937820048,7206346,194
1373892682,953265,10390,1774937824769,7206067,140
1373892682,953270,10588,1774937829876,7206174,184
1373892682,953275,10768,1774937835096,7206394,146
1373892682,953280,11031,1774937839822,7206120,188
1373892682,953285,11229,1774937844929,7206227,133
1373892682,953290,11375,1774937850153,7206451,152
1373892682,953295,11625,1774937854889,7206187,168
1373892682,953300,11758,1774937859983,7206281,196
1373892682,953305,11930,1774937864966,7206264,111
1373892682,953310,12227,1774937870124,7206422,173
1373892682,953315,12326,1774937874848,7206146,108
1373892682,953320,12623,1774937879948,7206246,209
1373892682,953325,12748,1774937884775,7206072,109
1373892682,953330,12920,1774937889778,7206076,148
1373892682,953335,13217,1774937895006,7206304,109
1373892682,953340,14108,1774937936059,7242356,108
1373892682,953380,14233,1774937940079,7206377,159
1373892682,953385,14504,1774937945069,7206367,111
1373892682,953390,14640,1774937949793,7206091,165
1373892682,953395,14937,1774937954919,7206217,114
1373892682,953400,15135,1774937960133,7206431,143
1373892682,953405,15234,1774937964849,7206147,120
1373892682,953410,15531,1774937969954,7206252,163
1373892682,953415,15729,1774937975181,7206479,113
1373892682,953420,15927,1774937980196,7206494,142
1373892682,953425,16125,1774937984816,7206114,222
1373892682,953430,16250,1774937989928,7206226,171
1373892682,953435,16521,1774937995166,7206464,119
1373892682,953440,16646,1774937999983,7206281,171
1373892682,953445,16917,1774938004981,7206279,107
1373892682,953450,17115,1774938010212,7206510,140
1373892682,953455,17214,1774938014945,7206243,111
1373892682,953460,17511,1774938020032,7206330,153
1373892682,953465,17610,1774938024756,7206054,107
1373892682,953470,17808,1774938029866,7206164,154
1373892682,953475,18105,1774938035087,7206385,122
1373892682,953480,18295,1774938040045,7206343,188
1373892682,953485,18501,1774938045225,7206523,109
1373892682,953490,18699,1774938049941,7206239,184
1373892682,953495,18889,1774938055053,7206351,121
1373892682,953500,19045,1774938059773,7206071,173
1373892682,953505,19220,1774938064881,7206179,131
1373892682,953510,19418,1774938070107,7206405,149
1373892682,953515,19634,1774938074836,7206134,151
1373892682,953520,19814,1774938079937,7206235,208
1373892682,953525,20012,1774938085164,7206462,116
1373892682,953530,20275,1774938089879,7206177,193
1373892682,953535,20382,1774938095000,7206298,116
1373892682,953540,20481,1774938100211,7206509,131
1373892682,953545,20580,1774938104938,7206236,115
1373892682,953549,20679,1774938110045,7206343,146
1373892682,953554,20778,1774938114768,7206065,106
1373892682,953559,20877,1774938119867,7206165,182
1373892682,953564,21075,1774938125091,7206389,106
1373892682,953569,21174,1774938129812,7206110,161
1373892682,953574,21471,1774938134956,7206254,121
1373892682,953579,21669,1774938140150,7206447,145
1373892682,953584,21768,1774938144865,7206163,115
1373892682,953589,22065,1774938149995,7206292,170
1373892682,953594,22263,1774938155198,7206496,113
1373892682,953599,22461,1774938160239,7206536,128
1373892682,953604,22612,1774938164831,7206129,109
1373892682,953609,22784,1774938169941,7206238,163
